T,ve,dve,vexe,dvexe,D0,dD0,De,dDe,E_star,dE_star
25.0,130.23475805069947,1.9095672486476658,0.9932702116697704,0.02374745684812601,4269.002534569927,161.52210776354354,4334.119913595277,161.52492968005603,209.96024255548616,9435.529619405994
27.0,130.3299645910398,1.993725938782266,0.9944753577497165,0.024794057631063335,4270.0655018584675,168.52708283192416,4335.230484153987,168.53003110311815,209.33118474650385,9414.80835210405
35.0,130.23387221361995,1.9002481614621114,0.9932589985421814,0.023631564187142674,4268.992653639977,160.73485508528535,4334.109589746787,160.73766321262875,209.96610485667026,9435.684203545925
39.0,130.21926112668575,1.7785157890872103,0.9930740480743485,0.022117695599633346,4268.829701385582,150.4535553177188,4333.9393319489245,150.4561832805315,210.06282305783444,9438.396471170412
mean,130.25446399551126,1.8955142844948134,0.9935196540090042,0.023572693566491342,4269.222597863488,160.30940024961797,4334.349829861244,160.3122018190836,209.83008880412368,9431.104661556596
